Marca temporal,Nombre de la Asociación o colectivo,Nombrad brevemente qué objetivos perseguís.,"¿Qué hacéis en vuestro día a día?
Describid qué tipo de acciones lleváis a cabo para alcanzar vuestros objetivos.","¿Cómo se puede participar?
Decid qué requisitos se necesita para formar parte de vuestra asociación o colectivo; qué puede hacer alguien que muestre interés; quién puede participar....","Horario.
¿Cuándo se puede ir a conoceros?",¿Dónde estáis?,"Contacto público y en uso.
Dejad algún correo electrónico, teléfono, redes sociales, algo para poder contactar con vuestra asociación o colectivo y que se pueda hacer público.
Si no tenéis nada de esto, poned cómo se os puede localizar y que se lo podamos decir a cualquiera (por ejemplo, pásate por el local)","Observaciones.
Escribid aquí aquello que consideráis importante dar a conocer y que no se engloba en ningún otro apartado."
16/02/2024 21:49:33,Asociación Juvenil Sensei,"Hacer actividades para la difusión de la cultura y ocio japones, conseguir que los jóvenes tengan opciones de ocio diferentes","Jornadas Otaku, actividades en eventos de cultura japonesa, proyecciones, torneos varios","Nuestras actividades están enfocadas al público juvenil pero abiertas a todas las edades, para ser socio se debe tener 14 años ",En todas nuestras actividades o en nuestra jornadas de puertas abiertas ,"Parla, zona sur y Madrid (Eventos en IFEMA)",senseijuvenil@gmail.com,"Torneos de cartas, videojuegos, concurso de Ramen picante y mucho más."
14/03/2024 13:04:16,ParlaCuida,Ayudar a los ciudadanos de Parla,"Clases de español, clases de apoyo escolar, clases de costura...",Cualquier persona que quiera tanto de voluntario como de usuario,Miércoles de 17 a 20 horas,Travesía de Getafe s/n,"TELÉFONO: 688442887, Instagram: @parlacuida, Facebook: Asociación ParlaCuida, Twitter:@CuidaParla ",
18/03/2024 12:42:42,CREP (Colectivo de Renovación Educativa de Parla),Mejora de la educación pública en Parla ,"Realizamos encuentros con todos los miembros de la comunidad educativa, intentando aportar ideas para mejorar los problemas que detectamos en la educación pública",No es necesario ningún requisito. ,En cualquiera de nuestras reuniones mensuales,Nos solemos reunir en MOMO ,creparla2017@gmail.com ,
18/03/2024 12:56:03,CREP (Colectivo de Renovación Educativa de Parla) ,"Creemos que nos define el interés por transformar la educación pública de Parla, por crear
un espacio de reflexión y formación educativa y nos mueve el interés por construir una
forma diferente de escuela desde la comunidad escolar. Somos conscientes de que para
transformar la sociedad necesitamos buscar formas innovadoras de resolver los
paradigmas que se dan en la sociedad actual. Y para esto creemos imprescindible la
revisión/renovación de nuestra educación, pero también tenemos claro que hay
determinados saberes que hay preservar, los que son producto de la experiencia basada en
la práctica.",Realizamos encuentros mensuales en los que nos formamos y abordamos las propuestas que vamos planteando y compartimos informaciones sobre los temas que afectan a la educación pública en Parla. ,No es necesario ningún requisito. ,En nuestra próxima reunión,"Nos reunimos en la Escuela de Educación Infantil MOMO (C. Carabanchel, S/N, 28981 Parla, Madrid)",creparla2017@gmail.com,
26/03/2024 14:28:44,Asociación Vecinal La Laguna,"- Apoyo vecinal
- Crecer en actividades y poder ofrecer más
- Crear comunidad","Ayuda vecinal. Enlace entre el barrio y la administración local y autonómica. Gestión de incidencias en el barrio. Organización de actividades sociales, ocio-culturales, solidarias, para todo Parla. Colaboración entre entidades y asociaciones.","El contacto es a través de ir presencialmente a la oficina o bien mediante teléfono.
Puede participar en las actividades todo el que quiera, dentro o fuera de Parla.",Oficina: Miércoles de 18.00h a 20.00h,C/ Lago Covadonga s/n Urbanización La Laguna,asociacionvecinoslaguna@gmail.com / Tlf: 626957504- 637584379- 665400943 / Whatsapp: 637584379 / Instagram: asociacionvecinoslaguna / FB: Asociacionvecinoslaguna ,
27/03/2024 20:14:55,AENMA - Asociación de enfermedades neurodegenerativas de Madrid,Mejora de la calidad de vida de las personas afectadas por enfermedades neurodegenerativas y sus familiares.,"- Se presta un servicio de centro de día terapéutico centrado en la persona, con intervenciones personalizadas que engloban tratamientos de psicoestimulación, fisioterapia, logopedia, terapia ocupacional, psicomotricidad, etc.
- Actividades dirigidas a las personas cuidadoras (formación, atención social, física, psicológica, actividades de respiro, ocio y tiempo libre, grupos de ayuda mutua).
- Somos compañía que persigue paliar la soledad no deseada de personas afectadas y/o cuidadoras.
- Acciones de sensibilización sobre las diferentes patologías que atendemos.","Tenemos un programa de voluntariado en el que la persona voluntaria tras un periodo de formación elige el proyecto en el que participar:
- Apoyo a las personas afectadas en la realización de actividades del centro de día, paseos terapéuticos
- Visitas al domicilio en el proyecto somos compañía
- Apoyo en actividades puntuales: días mundiales, acompañamiento en salidas del centro, acciones de sensibilización, realización de bailes, recitales de poesía, etc.",Con cita previa de lunes a viernes de 9:30 a 17:00 h,"C/ Jericó, 24","www.aenma.ong  (atendemos vía WhatsApp desde la WEB)
aenma@aenma.ong
91.698.92.37
ttps://www.facebook.com/AENMAong/
https://twitter.com/AENMAong
https://www.instagram.com/aenmaong/
https://www.linkedin.com/in/aenma-ong-9157831a6/",
9/04/2024 7:13:57,Asociación Cultural Dendê,"La diversión dentro de la cultura y deporte
La integración mediante el arte.
Ofrecer una alternativa a un ocio saludable",Actualmente hacemos una actividad de Teatro con otras actividades puntuales,Hacercarse a cultura los domingos a las 11:00 que es cuando nos reuniomos,Domingos 11:00 a 13:30 en cultura o. A través de redes sociales instagram e facebook,En Cultura c/ san anton n68,Asociacionculturaldende@gmail.com,Cultura Afrobrasileña
9/04/2024 18:01:11,Asociación Parlatea,Visibilidad del autismo y facilitar la inclusion de las personas de este colectivo,"Charlas en colegios, taller de perros, taller hhss, taller de familias. Tambien asistimos a eventos solidarios para recaudar fondos para poder llevar a cabo nuestros objetivos",Cualquier persona que quiera unirse a nuestra causa.,Jueves por la tarde o sabado por la mañana. Y cualquier otro dia con cita previa,C/ Cebadero 2, ,
9/04/2024 22:03:33,Kapikua Asociación de Parla,"●	Ofrecer una opción de ocio y tiempo libre para los jóvenes con discapacidad que participan en nuestra asociación.
●	Fomentar la inclusión, normalización y socialización de las personas con discapacidad.
●	Fomentar las habilidades de autonomía personal y social mediante las actividades de ocio y tiempo libre.
●	Favorecer la interrelación de la asociación con otras asociaciones y personas de la comunidad con el propósito de realizar actividades comunes.","En Kapikua realizamos diferentes actividades de ocio como pueden ser visitas al cine, teatro, museos; fiestas; parques; salidas de fin de semana; etc., acercando el ocio a los jóvenes con discapacidad y fomentando la inclusión de estos a nivel social.",Para ser voluntario/a de Kapikua solo se necesitan ganas de participar y compromiso para realizar las actividades que se proponen.,Escribir por correo o WhatsApp para concertar cita,"Calle Pablo Sorozábal, 10","Correo: asociacionkapikua@gmail.com
Teléfono: 603037992
Facebook: A.Kapikua
Instagram: asociacionkapikua
X: @AKapikua
TikTok: @a.kapikua",
12/04/2024 12:36:02,Mariposas para el Duelo,"Acompañamiento y apoyo a las familias cuyos bebés fallecen en el seno materno o tras el nacimiento.
Formación y apoyo a profesionales sanitarios que trabajan en el ámbito del duelo perinatal
Campañas de sensibilización respecto al duelo perinatal y la violencia obstetrica","Semanalmente atendemos a familias en duelo perinatal e infantil para asesorarles de sus derechos en el ámbito hospitalario, legal y emocional.
Mensualmente realizamos grupos de apoyo al duelo y actividades relacionadas con el proceso.
Trimestralmente se entregan cajas del recuerdo a diferentes hospitales de la CAM.
Durante todo el año creamos campañas de visibilizacion a la muerte perinatal y colaboramos con otras entidades que nos derivan mujeres en duelo.","Los grupos de apoyo están abiertos a todas las personas en duelo, sin importar proceso, ideología o religión,  siendo totalmente gratuitos. El resto de actividades pueden realizarse siendo socios que han pagado su cuota anual o , n caso de tener algún coste de material, abonando a parte ese día. Becamos a las familias con bajos recursos.","No tenemos local, asi que poniéndonos de acuerdo a traves del movil o el correo podemos conocernos cuando deseen, o en alguna de nuestras actividades mensuales.","En Parla, solemos isar la sala 10 de la plaza de toros","Mariposasparaelduelo@gmail.com
Tlf. 695343872
Instagram: mariposas_para_el_duelo
",
17/04/2024 20:15:23,Avv PARLA Este ,Socialización ,Talleres varios,Solo inscribirte,Miércoles de 18 a 20,Callé Libra5,Avvparlaeste@gmail.com,
